,conta_contabil,cod_r,nome_conta,saldo_ant,deb,cred,saldo_atual
0,1.0.00.00.00.000000,1.0,A T I V O,1801495.93,15440320.31,14040896.94,402072.5599999989
1,1.1.00.00.00.000000,11.0,ATIVO CIRCULANTE,1693538.71,14556783.27,14019733.96,1156489.4000000013
2,1.1.01.00.00.000000,12.0,CAIXA E EQUIVALENTE DE CAIXA,396088.48,4854827.29,5188593.84,729855.0299999998
3,1.1.01.01.00.000000,13.0,CAIXA GERAL,799.25,16738.94,15790.09,-149.59999999999854
4,1.1.01.01.01.000001,15.0,CAIXA,879.96,16132.21,16716.6,1464.3499999999995
5,1.1.01.02.00.000000,114.0,BANCOS C/MOVIMENTO,266784.74,4981776.19,5147888.16,432896.70999999973
6,1.1.01.02.01.000000,1946.0,BANCOS C/MOVIMENTO,270635.77,4179965.55,4544207.42,634877.6400000001
7,1.1.01.02.01.000004,11758.0,BANCO ITAU,318150.62,4329059.89,4131840.04,120930.77000000037
8,1.1.01.02.01.000001,118.0,BCO DO BRASIL S/A,0.0,435941.63,452572.95,16631.320000000007
9,1.1.01.03.00.000000,115.0,APLICACOES FINANCEIRAS,95535.0,368473.42,390421.88,117483.46000000002
10,1.1.01.03.01.000000,1947.0,APLICACOES FINANCEIRAS,92264.01,390575.41,379411.37,81099.97000000002
11,1.1.01.03.01.000070,17188.0,APLICACAO ITAU,96404.93,235375.0,278448.97,139478.89999999997
12,1.1.01.03.01.148304,136049.0,APLICAÇÃO BB AUTOMATICO,32.02,2.01,34.7,64.71000000000001
13,1.1.01.03.01.148305,136050.0,APLICAÇÃO BB AUTOMATICO EMPRESA,766.08,7681.72,7457.03,541.3899999999995
14,1.1.01.03.01.000001,121.0,BANCO DO BRASIL S/A,0.0,121295.74,90432.48,-30863.26000000001
15,1.1.02.00.00.000000,110.0,CREDITOS POR VENDAS/SERVICOS,307455.18,9243597.82,9736671.71,800529.0700000005
16,1.1.02.02.00.000000,125.0,CLIENTES,296760.85,9662510.19,9119558.58,-246190.75999999943
