,conta_contabil,cod_r,nome_conta,saldo_ant,deb,cred,saldo_atual
0,1.0.00.00.00.000000,1.0,A T I V O,1860950.32,14155428.16,15671542.89,3377065.0500000007
1,1.1.00.00.00.000000,11.0,ATIVO CIRCULANTE,1666603.91,14148991.81,14773412.84,2291024.9399999995
2,1.1.01.00.00.000000,12.0,CAIXA E EQUIVALENTE DE CAIXA,373001.37,4540892.95,5479304.59,1311413.0099999998
3,1.1.01.01.00.000000,13.0,CAIXA GERAL,835.01,18961.18,17464.42,-661.750000000002
4,1.1.01.01.01.000001,15.0,CAIXA,801.2,17194.31,16806.63,413.51999999999975
5,1.1.01.02.00.000000,114.0,BANCOS C/MOVIMENTO,268958.63,4659276.78,4620568.9,230250.75000000012
6,1.1.01.02.01.000000,1946.0,BANCOS C/MOVIMENTO,294204.73,4713149.78,4594492.77,175547.71999999927
7,1.1.01.02.01.000004,11758.0,BANCO ITAU,303235.96,4467310.63,4473316.71,309242.0400000001
8,1.1.01.02.01.000001,118.0,BCO DO BRASIL S/A,0.0,456433.12,430011.73,-26421.390000000014
9,1.1.01.03.00.000000,115.0,APLICACOES FINANCEIRAS,90315.27,353084.42,405155.78,142386.63000000006
10,1.1.01.03.01.000000,1947.0,APLICACOES FINANCEIRAS,94542.47,361775.93,381220.06,113986.6
11,1.1.01.03.01.000070,17188.0,APLICACAO ITAU,85585.87,219320.85,286628.78,152893.80000000002
12,1.1.01.03.01.148304,136049.0,APLICAÇÃO BB AUTOMATICO,30.27,1.91,35.59,63.95
13,1.1.01.03.01.148305,136050.0,APLICAÇÃO BB AUTOMATICO EMPRESA,767.03,6685.41,7464.86,1546.4799999999998
14,1.1.01.03.01.000001,121.0,BANCO DO BRASIL S/A,0.0,116848.24,91156.61,-25691.630000000005
15,1.1.02.00.00.000000,110.0,CREDITOS POR VENDAS/SERVICOS,334180.1,10118321.64,8964763.93,-819377.6100000009
16,1.1.02.02.00.000000,125.0,CLIENTES,348289.44,9492577.99,8918649.52,-225639.03000000067
17,1.1.02.02.01.000000,1959.0,CLIENTES,298164.36,9715062.71,10364488.18,947589.8299999988
18,1.1.02.02.01.000001,134.0,CLIENTES,327992.8,4809501.25,4393716.52,-87791.93000000046
19,1.1.02.02.01.000003,11448.0,CLIENTES REMESSAS - C,0.0,2617640.54,2814776.31,197135.77000000002
20,1.1.02.02.01.000002,11447.0,CLIENTES REMESSAS - D,0.0,2641924.57,2962183.78,320259.20999999996
21,1.1.03.00.00.000000,111.0,CREDITOS DIVERSOS,59154.07,208103.81,221764.58,72814.84
22,1.1.03.03.00.000000,141.0,ADIANTAMENTOS A EMPREGADOS,0.0,39507.2,36731.02,-2776.1800000000003
23,1.1.03.03.01.000000,1952.0,ADIANTAMENTOS A EMPREGADOS,0.0,37555.06,34018.38,-3536.6800000000003
24,1.1.03.03.01.000003,172.0,ADIANTAMENTO DE FERIAS,0.0,5840.7,5797.09,-43.60999999999967
25,1.1.03.03.01.000005,11762.0,ADIANTAMENTO DE RESCISAO,0.0,3281.84,2742.64,-539.2000000000003
26,1.1.03.03.01.000001,170.0,ADIANTAMENTOS E VALES,0.0,27361.59,27386.07,24.479999999999563
27,1.1.03.04.00.000000,142.0,ADIANTAMENTOS A FORNECEDORES,37988.76,31674.01,47012.01,53326.76000000001
28,1.1.03.04.01.000000,1953.0,ADIANTAMENTOS A FORNECEDORES,32685.38,9504.23,41032.37,64213.520000000004
29,1.1.03.04.01.088490,19288.0,ADIANTAMENTO A FORNECEDOR,32891.67,8548.39,37269.44,61612.72
